sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,description,fk,material,name,op,price,ptm,sd,size,status,tax_class_id,visibility,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
JC15JMPBBRPRGR16,,Bags,simple,Bags,Default Category,base,,Deep Brown With Rich Blue Colored Gym Bag Made From Rough And Tough Jutecotton Material And Strong Cotton Interiors Is Suitable For Carrying Your Gym Apparels And Accessories Or As A Fashionable Travel Bag..,Yes,Jutecotton, Blue Brown Duffel Bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15jmpbbrprgr16_other_3.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmpbbrprgr16_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmpbbrprgr16_other_1.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmpbbrprgr16_other_4.jpg,,4,0
JC15LBDBGRBL2002,,Bags,simple,Bags,Default Category,base,,"This new large travel bag made from durable jutecotton and natural fabric interiors will last for long. There are 4 generous pockets to segregate your small sized items. Two types of handles, shoulder handles and cross body strap is provided to be used according to convenience.",Yes,Jutecotton,Grey Black Travel Bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15lbdbgrbl2002_other_2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15lbdbgrbl2002_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15lbdbgrbl2002_other_3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15lbdbgrbl2002_other_1.jpg,,4,0
JC15LPTSLSBGRBR1601,,Bags,simple,Bags,Default Category,base,,Gussetted cushioned laptop bag with rich jutecotton exteriors and canvas interiors and a front pocket for power cord,Yes,Jutecotton, Grey Brown laptop sling bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15lptslsbgrbr1601_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15lptslsbgrbr1601_other_3.jpg,,2,0
